unique_id,date,title,genre,type,rating,price,average_reading_time
132933434563632,2022-01-11,Malcolm X,BiographyBook,Non-Fiction,5,64.6,41.55
132933434563344,2022-06-26,The Diary of a Young Girl,BiographyBook,Non-Fiction,2,68.14,20.52
132933434565360,2022-02-19,Steve Jobs,BiographyBook,Non-Fiction,3,68.62,44.81
132933434562816,2022-06-22,The Diary of a Young Girl,BiographyBook,Non-Fiction,2,67.48,36.93
132933434565696,2022-09-28,Sapiens,ScienceBook,Non-Fiction,4,63.75,
132933434566800,2022-04-02,The Diary of a Young Girl,BiographyBook,Non-Fiction,2,65.82,27.91
132933434564208,2022-07-20,Steve Jobs,BiographyBook,Non-Fiction,2,69.05,28.36
132933434566608,2022-06-11,Sapiens,ScienceBook,Non-Fiction,4,62.13,30.36
132933434562864,2022-03-13,The Diary of a Young Girl,BiographyBook,Non-Fiction,5,57.92,28.25
132933434563296,2022-04-19,Steve Jobs,BiographyBook,Non-Fiction,3,68.34,26.07
132933434567568,2022-03-16,Malcolm X,BiographyBook,Non-Fiction,5,67.06,37.72
132933434566176,2022-05-17,The Diary of a Young Girl,BiographyBook,Non-Fiction,4,59.53,35.27
132932530204112,2022-08-29,The Diary of a Young Girl,BiographyBook,Non-Fiction,4,68.24,32.39
132932530197920,2022-08-21,The Diary of a Young Girl,BiographyBook,Non-Fiction,,64.92,34.27
132932530196192,2022-01-16,Malcolm X,BiographyBook,Non-Fiction,1,66.65,21.86
132932530199120,2022-02-10,The Diary of a Young Girl,BiographyBook,Non-Fiction,4,67.53,43.44
132932530197488,2022-06-01,Steve Jobs,BiographyBook,Non-Fiction,2,58.7,33.59
132932530201280,2022-07-02,The Diary of a Young Girl,BiographyBook,Non-Fiction,4,67.7,30.3
132932530193744,2022-01-19,The Diary of a Young Girl,BiographyBook,Non-Fiction,2,68.34,27.03
132932530198880,2022-01-20,Gone Girl,MysteryBook,Fiction,4,69.88,33.94
132932530195040,2022-01-06,Malcolm X,BiographyBook,Non-Fiction,4,,29.43
132932530203920,2022-01-22,Sapiens,ScienceBook,Non-Fiction,3,58.64,29.56
132932530196096,2022-03-24,Malcolm X,BiographyBook,Non-Fiction,2,68.94,33.54
132932530197344,2022-04-10,Malcolm X,BiographyBook,Non-Fiction,2,66.95,26.24
132932530195424,2022-05-28,The Diary of a Young Girl,BiographyBook,Non-Fiction,2,61.98,32.62
132932530195232,2022-07-30,The Diary of a Young Girl,BiographyBook,Non-Fiction,3,65.31,24.19
132932530201760,2022-04-08,Malcolm X,BiographyBook,Non-Fiction,3,67.9,47.57
132932530201616,2022-07-18,The Selfish Gene,ScienceBook,Non-Fiction,4,66.28,41.89
132932530203104,2022-01-27,The Diary of a Young Girl,BiographyBook,Non-Fiction,2,66.53,38.09
132932530201472,2022-02-12,The Diary of a Young Girl,BiographyBook,Non-Fiction,5,65.08,29.75
132932530203632,2022-03-20,The Diary of a Young Girl,BiographyBook,Non-Fiction,,63.79,37.23
132932530203200,2022-04-30,Sapiens,ScienceBook,Non-Fiction,4,61.47,38.43
132932530194032,2022-03-13,The Diary of a Young Girl,BiographyBook,Non-Fiction,1,,28.8
132932530203728,2022-01-18,The Diary of a Young Girl,BiographyBook,Non-Fiction,3,61.95,29.26
